Type,Unit,Value
Area,acre-acre,1.0
Area,acre-squarefoot,64.64888783
Area,acre-hectare,0.404684918
Area,acre-squareinch,6273000
Area,acre-squareinch,6273000
Area,acre-squarekilometer,0.00404686
Area,acre-squarefoot,43560
Area,acre-squaremeter,4046.86
Area,acre-squaremile,0.0015625
Area,acre-squareyard,4840.008664
Area,squarefoot-acre,0.01546817
Area,squarefoot-squarefoot,1
Area,squarefoot-hectare,0.02302832
Area,squarefoot-squareinch,144.0002578
Area,squarefoot-squarekilometer,0.003116544
Area,squarefoot-squarekilometer,9.29E-08
Area,squarefoot-squaremeter,0.092902874
Area,squarefoot-squaremile,0.001203304
Area,squarefoot-squaremile,3.59E-08
Area,squarefoot-squareyard,0.111110912
Area,hectare-acre,2.471058238
Area,hectare-squarefoot,43.42479166
Area,hectare-hectare,1
Area,hectare-squareinch,15500920.58
Area,squareinch-squareyard,1.55E+07
Area,hectare-squarekilometer,0.01
Area,hectare-squaremeter,10000
Area,hectare-squaremile,0.00386102
Area,hectare-squareyard,11959.9
Area,squareinch-acre,1.59E-07
Area,squareinch-squarefoot,0.006944432
Area,squareinch-hectare,6.45E-08
Area,squareinch-squareinch,1
Area,squareinch-squarekilometer,0.000292902
Area,squareinch-squaremeter,0.000645159
Area,squareinch-squaremile,0.00011309
Area,squareinch-squareyard,0.000771604
Area,squarekilometer-acre,320.8682216
Area,squarekilometer-squarefoot,320.8682216
Area,squarekilometer-hectare,100
Area,squarekilometer-squareinch,3414.115138
Area,squarekilometer-squarekilometer,1
Area,squarekilometer-squaremeter,1000000
Area,squarekilometer-squaremile,0.386102
Area,squarekilometer-squareyard,1196000
Area,squaremeter-acre,0.000247105
Area,squaremeter-squarefoot,10.76392968
Area,squaremeter-hectare,0.006737826
Area,squaremeter-hectare,0.0001
Area,squaremeter-squareinch,1550.005875
Area,squaremeter-squarekilometer,0.000001
Area,squaremeter-squaremile,3.86E-07
Area,squaremeter-squaremeter,1
Area,squaremeter-squareyard,1.19599
Area,squaremile-acre,640
Area,squaremile-squarefoot,831.0448807
Area,squaremile-hectare,258.999
Area,squaremile-squarekilometer,2.58999
Area,squaremile-squareinch,8842.517614
Area,squaremile-squaremeter,2.59e+6
Area,squaremile-squaremile,1
Area,squareyard-acre,0.000206611
Area,squareyard-squarefoot,9.00001611
Area,squareyard-hectare,8.36E-05
Area,squareyard-squareinch,1296.00232
Area,squareyard-squarekilometer,8.36E-07
Area,squareyard-squaremeter,1.19599
Area,squareyard-squaremile,3.23E-07
Area,squareyard-squareyard,1
Length,centimeter-centimeter,1
Length,centimeter-foot,0.032808399
Length,centimeter-inch,0.393700787
Length,centimeter-kilometer,0.006737947
Length,centimeter-meter,0.01
Length,centimeter-mile,0.015402222
Length,centimeter-millimeter,10
Length,centimeter-nanometer,0.0000001
Length,centimeter-yard,0.0109361
Length,foot-centimeter,30.48
Length,foot-foot,1
Length,foot-inch,12.0000048
Length,foot-kilometer,0.0003048
Length,foot-kilometer,3280.84
Length,foot-meter,0.3048
Length,foot-mile,5280
Length,foot-millimeter,304.8
Length,foot-yard,0.333333
Length,inch-centimeter,2.54
Length,inch-foot,0.0833333
Length,inch-inch,1
Length,inch-kilometer,0.017114385
Length,inch-meter,0.0254
Length,inch-mile,0.010634502
Length,inch-millimeter,25.4
Length,inch-nanometer,2785.448222
Length,inch-yard,0.0277778
Length,kilometer-centimeter,148.4131591
Length,kilometer-foot,3280.84
Length,kilometer-inch,39370.1
Length,kilometer-kilometer,1
Length,kilometer-meter,1000
Length,kilometer-mile,0.621371
Length,kilometer-millimeter,403.4287935
Length,kilometer-yard,1093.613298
Length,meter-centimeter,100
Length,meter-foot,3.280839895
Length,mile-centimeter,64.9256954
Length,mile-foot,0.000189394
Length,mile-inch,94.03355452
Length,mile-kilometer,1.60934
Length,mile-meter,1609.34
Length,mile-mile,1
Length,mile-millimeter,176.486338
Length,meter-inch,39.37007874
Length,mile-yard,1759.999437
Length,meter-kilometer,0.001
Length,meter-meter,1
Length,millimeter-centimeter,0.1
Length,millimeter-foot,0.00328084
Length,meter-mile,0.000621371
Length,millimeter-inch,0.039370079
Length,millimeter-kilometer,0.002478752
Length,millimeter-m,0.001
Length,meter-millimeter,1000
Length,millimeter-mile,0.005666161
Length,millimeter-millimeter,1
Length,millimeter-nanometer,403.4287935
Length,millimeter-yard,0.00109361
Length,meter-nanometer,1000
Length,meter-yard,1.09361
Length,nanometer-foot,0.000359009
Length,nanometer-inch,3.94E-08
Length,nanometer-nanometer,1
Length,millimeter-nanometer,0.002478752
Length,nanometer-yard,3.67E-05
Length,yard-centimeter,91.44027578
Length,yard-foot,3.0
Length,yard-inch,35.9999712
Length,yard-kilometer,0.0009144
Length,yard-meter,0.9144
Length,yard-mile,0.000568182
Length,yard-nanometer,9.14E+08
Length,yard-yard,1
Mass,gram-gram,1
Mass,gram-kilogram,0.001
Mass,gram-pound,0.002204624
Mass,gram-milligram,1000
Mass,gram-ounce,0.035274
Mass,gram-ton,1.10E-06
Mass,gram-metricton,0.00220462
Mass,gallon-metricton,0.000001
Mass,kilogram-gram,1000
Mass,kilogram-kilogram,1
Mass,kilogram-pound,2.20462442
Mass,kilogram-milligram,1000000
Mass,kilogram-metricton,0.001
Mass,kilogram-ounce,35.274
Mass,kilogram-ton,907.185
Mass,kilogram-pound,0.453592
Mass,pound-gram,453.592
Mass,pound-kilogram,0.453592
Mass,pound-pound,1
Mass,pound-milligram,453592
Mass,pound-metricton,0.000453592
Mass,pound-ounce,0.0625
Mass,pound-ounce,16
Mass,pound-ton,0.0005
Mass,milligram-gram,0.001
Mass,milligram-kilogram,0.000001
Mass,milligram-pound,2.20E-06
Mass,milligram-milligram,1
Mass,milligram-metricton,0.000000001
Mass,milligram-ounce,0.000035274
Mass,milligram-ton,1.10E-09
Mass,metricton-gram,1000000
Mass,metricton-kilogram,1000
Mass,metricton-milligram,1000000000
Mass,metricton-metricton,1
Mass,metricton-ounce,35274
Mass,metricton-pound,2204.62
Mass,metricton-ton,1.10231
Mass,ounce-gram,28.34949254
Mass,ounce-kilogram,0.0283495
Mass,ounce-pound,0.0625
Mass,ounce-milligram,28349.5
Mass,ounce-metricton,2.83E-05
Mass,ounce-ounce,1
Mass,ounce-ton,0.00003125
Mass,ounce-gram,0.035274
Mass,ton-gram,907185
Mass,ton-kilogram,0.00110231
Mass,ton-pound,2000
Mass,ton-milligram,907184000.7
Mass,ton-metricton,0.907185
Mass,ton-metricton,0.907185
Mass,ton-ounce,32000
Mass,ton-ton,1
Mass,ton-milligram,907200000
Mass,liter-pint,2.11338
Temperature,fahrenheit-fahrenheit,1
Temperature,celsius-celsius,1
Volume,cup-cup,1
Volume,cup-gallon,0.0625
Volume,cup-liter,0.239999808
Volume,cup-milliliter,240
Volume,cup-pint,.25
Volume,cup-quart,.25
Volume,flounce-gallon,0.00750593
Volume,gallon-cup,15.77256172
Volume,gallon-flounce,133.228
Volume,gallon-gallon,1
Volume,gallon-liter,3.78541
Volume,gallon-liter,3.785412534
Volume,gallon-milliliter,3785.41
Volume,gallon-pint,8.0000064
Volume,gallon-quart,4.0000032
Volume,liter-cup,4.16667
Volume,liter-gallon,0.264172
Volume,liter-gallon,0.264172177
Volume,liter-liter,1
Volume,liter-milliliter,1000
Volume,liter-pint,2.11337811
Volume,liter-pint,0.473176094
Volume,liter-quart,1.05669
Volume,milliliter-cup,0.00416667
